sales1_name,chan2_name,chan1_name,dma1_name,all_name,spend,decomp,max,cps,hl,hrf,wks
Freedom Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,7982.840683,131107,1.957298839,0.3,0.6,1
Freedom Card - New Applications,Paid Search,Consumer,National,overall,166738.6035,1663.972242,579287,0.538227198,0.6,0.3,1
Freedom Card - New Applications,Magazine,Freedom,National,overall,11090.29167,206.5986494,5249405,0.039609181,2,0.6,1
Freedom Card - New Applications,Television,Consumer,National,overall,1253702.03,1508.737113,2439773.3,1,3,0.45,1
Freedom Card - New Applications,Television,Freedom,National,overall,636601.4494,4842.589011,81.6008073,21107.96999,3,0.6,1
Freedom Card - New Applications,Television,Sapphire,National,overall,655473.1438,1468.386498,104.9005109,17729.75843,3,0.6,1
Freedom Card - New Applications,Online Display,Freedom,National,overall,78379.72854,1032.935079,80454855,0.008120951,0.01,0.3,1
Freedom Card - New Applications,Online Video,Freedom,National,overall,98446.13958,1125.270093,29198871,0.014754522,0.6,0.3,1
Freedom Card - New Applications,Direct Mail,Freedom,National,overall,1573462.217,10769.61992,14162618,0.438161596,0.6,0.45,1
Freedom Card - New Applications,Direct Mail,Consumer,National,overall,1567480.208,1094.518055,14309581,0.563948789,0.3,0.05,1
Ink Card - New Applications,Television,Ink,National,overall,424056.6208,641.5414841,11.85065332,137406.6177,1,0.6,1
Ink Card - New Applications,Online Display,Ink,National,overall,163116.1263,1246.144089,96358722,0.003943428,0.3,0.6,1
Ink Card - New Applications,Paid Search,Ink,National,overall,27995.78813,283.7659423,8471,7.317207445,3,0.15,1
Ink Card - New Applications,Paid Search,Multicard,National,overall,82563.00729,248.1982435,131107,0.972202097,0.01,0.3,1
Ink Card - New Applications,Direct Mail,Ink,National,overall,437898.5835,808.3123597,7402430,0.683361067,2,0.15,1
Slate Card - New Applications,Television,Freedom,National,overall,636601.4494,982.7142624,81.6008073,21107.96999,5,0.15,1
Slate Card - New Applications,Online Display,Sapphire,National,overall,105122.1873,166.648619,226727548,0.004731433,0.3,0.05,1
Slate Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,5247.436367,169802,1.957298839,0.01,0.15,1
Slate Card - New Applications,Direct Mail,Slate,National,overall,1730479.326,5122.048042,18074490,0.328408769,0.01,0.05,1
Sapphire Card - New Applications,Newspaper,Partner,National,overall,34139.28708,28.98571061,1.384589084,265689.8235,0.1,0.15,1
Sapphire Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,2716.432546,169802,1.957298839,0.01,0.3,1
Sapphire Card - New Applications,Television,Freedom,National,overall,636601.4494,643.4411636,81.6008073,21107.96999,4,0.15,1
Sapphire Card - New Applications,Direct Mail,Sapphire,National,overall,525861.9437,1070.797062,3473887,0.963898147,3,0.45,1
Sapphire Card - New Applications,Television,Sapphire,National,overall,655473.1438,781.0090072,104.9005109,17729.75843,5,0.3,1
Sapphire Card - New Applications,Online Video,Sapphire,National,overall,253301.1617,522.4651825,37820152,0.019784837,0.3,0.3,1
Sapphire Card - New Applications,Paid Search,Partner,National,overall,71059.54854,307.6284415,64025,1.802442001,0.6,0.15,1
Sapphire Card - New Applications,Magazine,Sapphire,National,overall,102894.2042,321.3213922,9527768,0.079665759,1,0.15,1
Sapphire Card - New Applications,Online Display,Sapphire,National,overall,105122.1873,224.0850662,226727548,0.004731433,0.3,0.3,1
Business Checking - New Checking Accounts,Online Display,Business,National,overall,90933.07125,265.248626,47807739,0.005352086,0.6,0.3,1
Business Checking - New Checking Accounts,Online Video,Business,National,overall,49997.51375,188.8753485,7018490,0.019931938,0.3,0.15,1
Business Checking - New Checking Accounts,Television,Ink,National,overall,424056.6208,147.7315995,11.85065332,137406.6177,2,0.15,1
Business Checking - New Checking Accounts,Online Display,Ink,National,overall,163116.1263,143.8125599,96358722,0.003943428,1,0.05,1
Business Checking - New Checking Accounts,Radio,Business,National,overall,137755.799,177.5345941,1730.6,267.8666828,0.3,0.05,1
Business Checking - New Checking Accounts,Newspaper,Business,National,overall,12140.04104,55.20660125,1663846,0.043741177,0.3,0.15,1
Business Checking - New Checking Accounts,Paid Search,Consumer,National,overall,188661.4583,166.5211958,595901,0.593806978,3,0.1,1
Business Checking - New Checking Accounts,Television,Consumer,National,overall,1253702.03,176.7829666,2439773.3,1,3,0.05,1
Business Checking - New Checking Accounts,Direct Mail,Consumer,National,overall,1567480.208,560.6272875,14309581,0.563948789,4,0.35,1
Freedom Card - New Applications,Affiliates,Freedom,National,overall,8584605.684,417114.83,80089,4.120995135,0.01,0.45,1
Ink Card - New Applications,Affiliates,Ink,National,overall,1214234.495,65682.05822,56262,1.607016695,0.01,0.15,1
Slate Card - New Applications,Affiliates,Slate,National,overall,2678929.622,412128.5786,34434,1.983244969,5,0.45,1
Sapphire Card - New Applications,Affiliates,Sapphire,National,overall,1498713.935,158654.2768,30059,1.334889608,0.6,0.45,1
